name,Control,PD,Category,FoldChange,Difference
CLDN,2.202203335,3.443004222,PD-enriched,1.56,1.2408
NCAM,2.172292867,2.535486384,PD-enriched,1.17,0.3632
EPHA,0.919560585,1.65421332,PD-enriched,1.8,0.7347
SEMA6,0.956633729,1.470907894,PD-enriched,1.54,0.5143
CNTN,0.576935263,1.307539804,PD-enriched,2.27,0.7306
LAMININ,0.297417406,1.303504598,PD-enriched,4.38,1.0061
CDH,0.390080122,1.190720124,PD-enriched,3.05,0.8006
CADM,0.346979496,0.903784173,PD-enriched,2.6,0.5568
FGF,0.403866593,0.538468355,PD-enriched,1.33,0.1346
PTN,0.081174625,0.409439057,PD-enriched,5.04,0.3283
TENASCIN,0.056788252,0.299088177,PD-enriched,5.27,0.2423
EPHB,0.226496882,0.273079541,PD-enriched,1.21,0.0466
SEMA3,0.046046647,0.271634896,PD-enriched,5.9,0.2256
COLLAGEN,0.025102988,0.24537681,PD-enriched,9.77,0.2203
BMP,0.088735429,0.141708212,PD-enriched,1.6,0.053
IGF,0.055087252,0.123943561,PD-enriched,2.25,0.0689
NGL,0.029957092,0.114708598,PD-enriched,3.83,0.0848
JAM,0.029556418,0.112925181,PD-enriched,3.82,0.0834
NECTIN,0.043198081,0.102303311,PD-enriched,2.37,0.0591
SEMA4,0.065483518,0.099477915,PD-enriched,1.52,0.034
EGF,0.054524883,0.096963188,PD-enriched,1.78,0.0424
CD39,0.05991035,0.076327993,PD-enriched,1.27,0.0164
SEMA7,0.034002172,0.057015198,PD-enriched,1.68,0.023
ncWNT,0.00651641,0.0539733,PD-enriched,8.28,0.0475
PDGF,0,0.050159414,PD-specific,NA,0.0502
ANGPT,0.005846607,0.021771388,PD-enriched,3.72,0.0159
CD96,0,0.018018739,PD-specific,NA,0.018
PSAP,0.00670271,0.016470023,PD-enriched,2.46,0.0098
THBS,0,0.016285393,PD-specific,NA,0.0163
KIT,0,0.011156868,PD-specific,NA,0.0112
WNT,0,0.007636098,PD-specific,NA,0.0076
CSF,0,0.006096267,PD-specific,NA,0.0061
MPZ,0,0.005794657,PD-specific,NA,0.0058
SEMA5,0.003264861,0.005036671,PD-enriched,1.54,0.0018
PECAM1,0,0.003285349,PD-specific,NA,0.0033
MAG,0.001835731,0,Control-specific,0,-0.0018
