"name","Control","PD","Category","FoldChange","Difference"
"CNTN",0.0317778634311114,0.0834919141717496,"PD-enriched",2.63,0.0517
"CDH",0.0128154677744735,0.0629396124643105,"PD-enriched",4.91,0.0501
"LAMININ",0,0.0613373499090206,"PD-specific",NA,0.0613
"EPHA",0.0345084793801452,0.0592149887700221,"PD-enriched",1.72,0.0247
"SEMA6",0.0191968370490738,0.0294522416471272,"PD-enriched",1.53,0.0103
"CADM",0.0112513857711856,0.0288632902412996,"PD-enriched",2.57,0.0176
"TENASCIN",0,0.0187024905338211,"PD-specific",NA,0.0187
"BMP",0.0116787747082862,0.0160420490833896,"PD-enriched",1.37,0.0044
"COLLAGEN",0,0.0114156189382664,"PD-specific",NA,0.0114
"PTN",0,0.010731450996077,"PD-specific",NA,0.0107
"FGF",0,0.00660562916378315,"PD-specific",NA,0.0066
