"name","Control","PD","Difference","FoldChange","Category"
"EPHA",0.0320223310730535,0.124121931500815,0.092099600427762,3.88,"PD-enriched"
"LAMININ",0,0.065185186155438,0.065185186155438,NA,"PD-specific"
"CNTN",0.0252008625175071,0.072316365939025,0.0471155034215179,2.87,"PD-enriched"
"CADM",0.0112471650202558,0.0564371694892804,0.0451900044690246,5.02,"PD-enriched"
"CDH",0.0115828294743052,0.053637699969365,0.0420548704950598,4.63,"PD-enriched"
"TENASCIN",0,0.0351785137554684,0.0351785137554684,NA,"PD-specific"
"COLLAGEN",0,0.0161429412916532,0.0161429412916532,NA,"PD-specific"
"IGF",0.00607523743619525,0.0196001693066215,0.0135249318704263,3.23,"PD-enriched"
"KIT",0,0.00515565241272399,0.00515565241272399,NA,"PD-specific"
"NECTIN",0,0.00513655821654327,0.00513655821654327,NA,"PD-specific"
"NGL",0,0.00404911877037319,0.00404911877037319,NA,"PD-specific"
"SEMA6",0.0180312613686258,0.0218525933195443,0.00382133195091846,1.21,"PD-enriched"
"ncWNT",0,0.00360798903409492,0.00360798903409492,NA,"PD-specific"
"WNT",0,0.00313852702676588,0.00313852702676588,NA,"PD-specific"
"SEMA5",0.00326486051530345,0.00503667102753545,0.00177181051223199,1.54,"PD-enriched"
"NCAM",0.103212510338508,0.0995451763436153,-0.00366733399489229,0.96,"Control-enriched"
